id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-01-10T02:37:35;unleash integrate;1
2;Gloves Account Belarussian;2022-01-10T12:37:56;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-01-09T17:56:28;SSL zero;3
4;user-facing turquoise;2022-01-10T07:46:36;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-01-09T19:14:29;Viaduct Bedfordshire;5
6;Shoes Avon;2022-01-10T14:36:02;Lilangeni;6
7;Music Handmade;2022-01-10T00:13:40;Estate red;7
8;Officer mobile Specialist;2022-01-10T10:03:43;system;8
9;bypass;2022-01-10T15:36:01;Streamlined;9
10;invoice Quality-focused hack;2022-01-09T19:56:50;wireless Borders;10
