id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-01-10T10:09:11;Loop;CANCELLED;PAYPAL;2022-01-10T04:29:36;22604
2;calculating;2022-01-10T10:37:34;haptic 1080p;ISSUED;PAYPAL;2022-01-09T21:51:14;10489
3;national Frozen Berkshire;2022-01-10T10:52:24;Account Borders Home;PAID;CREDIT_CARD;2022-01-10T01:35:15;36325
4;monitor;2022-01-09T20:55:00;parse intuitive Division;CANCELLED;PAYPAL;2022-01-09T22:30:01;13687
5;synergy transmitting;2022-01-09T20:57:15;parse Gloves;ISSUED;PAYPAL;2022-01-10T05:33:53;92472
6;function;2022-01-10T01:50:43;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-01-10T12:57:44;26944
7;Maine;2022-01-10T12:17:06;RAM;ISSUED;PAYPAL;2022-01-10T17:18:58;32458
8;Analyst Agent;2022-01-10T16:11:48;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-01-10T13:13:30;79389
9;Salad;2022-01-09T22:20:30;Gorgeous;ISSUED;CREDIT_CARD;2022-01-10T07:06:54;62169
10;Pants Wooden Intuitive;2022-01-10T07:44:27;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-01-10T03:39:04;58737
